,弹幕内容
0,撒花撒花～
1,留个爪
2,！！！！！！！！！
3,脸是怎么长那么大的？
4,摸个头你至于吗
5,摸个头你至于吗
6,jio印
7,信天翁 D-III战斗机
8,留下鲱鱼
9,下一站：格莱普尼尔
10,留个爪
11,留个爪
12,留个爪
13,感谢陪伴
14,r18重点
15,感谢各位绅士的陪伴
16,停车。快停车
17,留下自己
18,西耳微
19,缘的天空
20,期待下季
21,医学奇迹
22,众所周知，日本不锁门
23,脱衣服！
24,是不是玩不起
25,你倒是继续啊
26,车门焊死
27,玩不起？
28,电灯泡国光
29,危危危危危危危危危危危
30,留个jiojio
31,唉，你他娘的还真是个天才
32,工口
33,这才是真正的艺术
34,这个是真的艺术，不用遮挡
35,危危危危危危危危危危危危危危危危
36,按f掀开头盖骨
37,爪子
38,纱雾
39,纱雾
40,阿里嘎多
41,sahua~
42,左下角是要。。。。。。。。。。。。。。。。。。
43,你也没锁门？
44,万恶的马赛克
45,火箭太快了
46,留个jio印
47,谢谢提醒
48,握草
49,老绅士
50,留下脚气
51,太小了这
52,留下jio
53,大小和日本人一样
54,回顾完了，等会儿看ova
55,留下爪印
56,留个泡泡茶壶
57,前方万恶之源
58,果然是你
59,一不小心就肝完了
60,！！！
61,超速了
62,直接连肝12集
63,摄影师今晚和巴菲特共进晚餐
64,超速了，太快了
65,逻辑鬼才
66,斯巴拉西
67,没点赞
68,这是艺术作品
69,那一夜她长大了
70,妙啊
71,男生要在外面好好保护自己
72,ova见！
73,和泉：蜜汁满足
74,留下回忆
75,龌蹉
76,纱雾你变了
77,下一季见
78,到站了
79,留下大伊万
80,留下大伊万
81,吗的色影师你麻溜的啊
82,多星星抬个肾呢
83,这是摸上瘾了啊
84,足彩
85,摸，接着摸，等下把你摸秃
86,给你机会你不中用啊
87,拜拜啦！！！
88,感谢陪伴
89,那一天，她长大了
90,脱衣服！
91,危危危危危危危危危危危危危危危危危危危危危
92,正确的捂眼方式
93,矮子
94,核能
95,害怕
96,没点赞
97,好快的车车
98,工具人实锤
99,艺术的气息
100,拜拜
101,偷家了？
102,留个爪！
103,艺术。。。
104,嗯哼
105,哈哈哈哈
106,。。。。。
107,欸嘿嘿
108,留个jiojio.
109,留个脚印
110,留下jio气
111,哇啊！
112,到此一游
113,牛批
114,这女的百分之百看过
115,留个爪爪
116,QAQ
117,qnq
118,到此一游 
119,灵魂质问
120,拜拜 
121,老色胚了
122,留下jio印
123,留点jio印
124,哈哈哈
125,啊～
126,感谢陪伴
127,！！！！！！！！！！！！！！！
128,你会变得更强
129,纱雾老师牛批啊
130,到站了，下车了
131,0【=-0--00【-====】=】
132,报告吉吉国王没有发现毛毛
133,留下脚印
134,挖槽
135,留个无人区
136,留下血小板
137,留个爪印
138,三女一男是什么感觉
139,。。。。。。。。。。。。。。。。。
140,绅士视角
141,摄影师鸡腿里找主食
142,工口
143,。。。。。。。。。。。。。。。。。。
144,傲娇
145,又来一个
146,汝车之速，快似火箭，稳如泰山，吾甚不及汝
147,车车车，不是，这是火箭
148,。。。。。。。。。。。。。。。。。。。
149,FBI介入调查
150,。。。。。。。。。。。。。。。。。。
151,气成河豚
152,万恶之源的马赛克
153,哎嘿嘿
154,你们可真是群小机灵鬼
155,一男难敌三女
156,。。。。。。。。。。
157,这车也太快了吧！
158,小孩子要遭殃了
159,。。。。。。。。。。。。。。。。。。。。
160,这不是大卫吗
161,果然阿慧还是最懂的
162,孩子是无辜的
163,这就像是，三国争霸
164,爪印
165,留下RAN
166,大伙
167,再会
168,留个脚印
169,女少啊
170,前方露飞机高能！
171,前方露飞机高能
172,前方露飞机高能！！！
173,神tm露飞机
174,神TM露飞机
175,叫班长来
176,留个脚印
177,这是艺术
178,世界名画
179,这是艺术啊！
180,有下一季吗？
181,撒花
182,感谢陪伴
183,真正的绅士！
184,到站了
185,按F扑倒
186,录音棚里欢乐多
187,112人正在观看
188,摄像师请你吃国宴
189,录音棚里趣事多
190,表情亲传：桐乃
191,名场面
192,男孩子在里要好好保护自己
193,啊啊
194,摸吧使劲摸
195,舒服啊
196,额额额额额额
197,舒服不
198,这嘴.亲上去
199,小埋多好啊
200,瞬间........
201,出去啊
202,纱雾你。。。。
203,太。
204,技术指导：茄子
205,留个jio印
206,留下爪爪
207,留下jio
208,¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？¿？
209,射射，谢了
210,送分题缘（）空
211,左下角！！！！！！！！！！！！！！！！！！！！
212,。。。
213,前辈就是前辈
214,罗志祥预警
